Example 21.2

US/UK Exchange Rate
Ex = $/UK pound
Time: 1 = January 1973
    286 = October 1996

TIME	EX
1	2.6102
2	2.6124
3	2.5691
4	2.4447
5	2.4502
6	2.441
7	2.3948
8	2.3505
9	2.3448
10	2.3562
11	2.4275
12	2.4724
13	2.4837
14	2.5305
15	2.5762
16	2.5375
17	2.4757
18	2.4183
19	2.4292
20	2.387
21	2.3174
22	2.224
23	2.2749
24	2.3406
25	2.3886
26	2.4137
27	2.3902
28	2.3896
29	2.3456
30	2.3165
31	2.3329
32	2.3252
33	2.3294
34	2.3623
35	2.3958
36	2.418
37	2.3707
38	2.3205
39	2.2803
40	2.1845
41	2.1143
42	2.0835
43	2.0568
44	2.0484
45	2.0221
46	2.02859
47	2.0262
48	1.9428
49	1.8463
50	1.8079
51	1.764
52	1.785
53	1.7828
54	1.7272
55	1.6377
56	1.6381
57	1.6784
58	1.7124
59	1.7103
60	1.71741
61	1.71903
62	1.71845
63	1.71914
64	1.7226
65	1.7397
66	1.74314
67	1.77108
68	1.81778
69	1.85458
70	1.93527
71	1.93963
72	1.90547
73	1.84968
74	1.8181
75	1.83724
76	1.89489
77	1.9406
78	1.9595
79	2.00754
80	1.96075
81	1.98611
82	2.0053
83	2.0042
84	2.0378
85	2.0734
86	2.05872
87	2.1119
88	2.2598
89	2.2368
90	2.1966
91	2.1438
92	2.1352
93	2.2007
94	2.2641
95	2.28911
96	2.20451
97	2.20936
98	2.30202
99	2.33594
100	2.37315
101	2.37036
102	2.40123
103	2.41644
104	2.39409
105	2.34594
106	2.40288
107	2.29411
108	2.2319
109	2.1753
110	2.0884
111	1.9738
112	1.8737
113	1.8203
114	1.8146
115	1.8407
116	1.90251
117	1.90333
118	1.886
119	1.847
120	1.805
121	1.772
122	1.8103
123	1.7563
124	1.7354
125	1.725
126	1.712
127	1.6962
128	1.6321
129	1.616
130	1.5756
131	1.5329
132	1.49
133	1.5361
134	1.5722
135	1.548
136	1.5273
137	1.5026
138	1.4986
139	1.4969
140	1.4766
141	1.4338
142	1.4076
143	1.4417
144	1.4557
145	1.421
146	1.3894
147	1.377
148	1.32
149	1.3132
150	1.2563
151	1.2196
152	1.2392
153	1.1861
154	1.1271
155	1.0931
156	1.1253
157	1.2377
158	1.2483
159	1.2808
160	1.3807
161	1.384
162	1.3642
163	1.4215
164	1.4396
165	1.4447
166	1.4244
167	1.4297
168	1.4674
169	1.4985
170	1.5211
171	1.5085
172	1.5071
173	1.4861
174	1.4698
175	1.4264
176	1.4238
177	1.4393
178	1.5054
179	1.528
180	1.5923
181	1.6299
182	1.6666
183	1.6288
184	1.609
185	1.5996
186	1.6446
187	1.662
188	1.7754
189	1.8288
190	1.8009
191	1.7582
192	1.833
193	1.8782
194	1.8695
195	1.7768
196	1.7051
197	1.6965
198	1.684
199	1.7388
200	1.8085
201	1.8258
202	1.7737
203	1.7534
204	1.7134
205	1.7008
206	1.5715
207	1.553
208	1.6268
209	1.5947
210	1.5715
211	1.5874
212	1.5726
213	1.5965
214	1.6512
215	1.6961
216	1.6245
217	1.6372
218	1.6774
219	1.7103
220	1.8098
221	1.9013
222	1.8794
223	1.9456
224	1.9642
225	1.9219
226	1.9346
227	1.9641
228	1.8214
229	1.7497
230	1.7238
231	1.6497
232	1.6513
233	1.6841
234	1.7265
235	1.7231
236	1.7796
237	1.8272
238	1.809
239	1.7778
240	1.7238
241	1.7566
242	1.8095
243	1.8551
244	1.9177
245	1.9434
246	1.8465
247	1.6529
248	1.5268
249	1.551
250	1.5325
251	1.4395
252	1.4617
253	1.5447
254	1.5477
255	1.5082
256	1.4955
257	1.4914
258	1.5248
259	1.5023
260	1.4808
261	1.4913
262	1.4923
263	1.4792
264	1.4919
265	1.4823
266	1.5042
267	1.5262
268	1.5467
269	1.5422
270	1.5661
271	1.6064
272	1.5892
273	1.5587
274	1.5746
275	1.572
276	1.6002
277	1.6073
278	1.5874
279	1.5948
280	1.5952
281	1.5668
282	1.559
283	1.5779
284	1.5625
285	1.5405
286	1.5288
