Figure 22.8

Return= Monthly % change in NYSE
        Index
Time:  1 = January 1952
     528 = December 1995

TIME	RETURN	
1	0.01546	
2	-0.032049	
3	0.041241	
4	-0.050401	
5	0.025041	
6	0.035414	
7	0.010408	
8	-0.014087	
9	-0.023122	
10	-0.0069	
11	0.04932	
12	0.02661	
13	-0.002742	
14	-0.008959	
15	-0.01714	
16	-0.028791	
17	-0.000579	
18	-0.020404	
19	0.023651	
20	-0.051344	
21	-0.001232	
22	0.045457	
23	0.018167	
24	-0.004624	
25	0.049364	
26	0.011918	
27	0.033795	
28	0.041291	
29	0.02482	
30	0.007569	
31	0.049205	
32	-0.029173	
33	0.061073	
34	-0.017632	
35	0.086537	
36	0.051643	
37	0.006263	
38	0.025711	
39	-0.00444	
40	0.031271	
41	0.006302	
42	0.062941	
43	0.019176	
44	-0.001437	
45	-0.004805	
46	-0.026813	
47	0.0624	
48	0.013385	
49	-0.029391	
50	0.034369	
51	0.065332	
52	0.004096	
53	-0.055236	
54	0.034676	
55	0.049742	
56	-0.034164	
57	-0.05235	
58	0.00542	
59	0.000407	
60	0.027106	
61	-0.032653	
62	-0.024016	
63	0.020568	
64	0.043607	
65	0.030325	
66	-0.008553	
67	0.008048	
68	-0.054875	
69	-0.060566	
70	-0.043234	
71	0.017136	
72	-0.041776	
73	0.048747	
74	-0.020185	
75	0.030089	
76	0.028893	
77	0.019134	
78	0.026284	
79	0.043468	
80	0.01395	
81	0.046392	
82	0.025563	
83	0.025181	
84	0.050465	
85	0.008565	
86	0.006757	
87	0.002365	
88	0.038144	
89	0.015752	
90	-0.001304	
91	0.033249	
92	-0.01571	
93	-0.047151	
94	0.01413	
95	0.012816	
96	0.026284	
97	-0.068199	
98	0.007715	
99	-0.014751	
100	-0.016497	
101	0.028399	
102	0.02046	
103	-0.021787	
104	0.024966	
105	-0.060274	
106	-0.005925	
107	0.042006	
108	0.045796	
109	0.063213	
110	0.032955	
111	0.02872	
112	0.005015	
113	0.021666	
114	-0.030525	
115	0.029965	
116	0.022125	
117	-0.020556	
118	0.025809	
119	0.040551	
120	-0.000638	
121	-0.037756	
122	0.014828	
123	-0.007049	
124	-0.063595	
125	-0.089628	
126	-0.084427	
127	0.064664	
128	0.017272	
129	-0.051643	
130	0.002382	
131	0.104627	
132	0.011291	
133	0.04987	
134	-0.027247	
135	0.032606	
136	0.046875	
137	0.015001	
138	-0.019361	
139	-0.003177	
140	0.049403	
141	-0.013973	
142	0.027877	
143	-0.011147	
