Help wanted Index and the
Unemployment rate, USA, January 1969 to January 2000

HWI = Help-Wanted Index
UNRATE = Unemployment rate (%)
Time: 1  = January 1969
     373 = January 2000

TIME	HWI	UNRATE
1	79	3.4
2	79	3.4
3	80	3.4
4	80	3.4
5	80	3.4
6	78	3.5
7	77	3.5
8	76	3.5
9	80	3.7
10	79	3.7
11	77	3.5
12	75	3.5
13	71	3.9
14	71	4.2
15	67	4.4
16	65	4.6
17	61	4.8
18	60	4.9
19	58	5
20	57	5.1
21	56	5.4
22	53	5.5
23	53	5.9
24	53	6.1
25	51	5.9
26	52	5.9
27	52	6
28	52	5.9
29	53	5.9
30	55	5.9
31	54	6
32	55	6.1
33	54	6
34	55	5.8
35	56	6
36	56	6
37	59	5.8
38	60	5.7
39	62	5.8
40	62	5.7
41	64	5.7
42	64	5.7
43	66	5.6
44	68	5.6
45	69	5.5
46	72	5.6
47	73	5.3
48	80	5.2
49	82	4.9
50	82	5
51	82	4.9
52	81	5
53	82	4.9
54	82	4.9
55	84	4.8
56	82	4.8
57	81	4.8
58	82	4.6
59	82	4.8
60	79	4.9
61	78	5.1
62	77	5.2
63	77	5.1
64	79	5.1
65	78	5.1
66	76	5.4
67	74	5.5
68	72	5.5
69	69	5.9
70	64	6
71	59	6.6
72	54	7.2
73	51	8.1
74	50	8.1
75	49	8.6
76	49	8.8
77	49	9
78	52	8.8
79	53	8.6
80	52	8.4
81	54	8.4
82	54	8.4
83	56	8.3
84	56	8.2
85	57	7.9
86	60	7.7
87	61	7.6
88	60	7.7
89	62	7.4
90	62	7.6
91	62	7.8
92	62	7.8
93	61	7.6
94	62	7.7
95	64	7.8
96	66	7.8
97	68	7.5
98	68	7.6
99	70	7.4
100	72	7.2
101	74	7
102	75	7.2
103	77	6.9
104	79	7
105	78	6.8
106	82	6.8
107	85	6.8
108	88	6.4
109	88	6.4
110	89	6.3
111	91	6.3
112	97	6.1
113	96	6
114	97	5.9
115	96	6.2
116	98	5.9
117	99	6
118	103	5.8
119	102	5.9
120	103	6
121	102	5.9
122	100	5.9
123	100	5.8
124	104	5.8
125	103	5.6
126	101	5.7
127	101	5.7
128	102	6
129	105	5.9
130	106	6
131	100	5.9
132	99	6
133	97	6.3
134	94	6.3
135	93	6.3
136	82	6.9
137	76	7.5
138	77	7.6
139	77	7.8
140	78	7.7
141	81	7.5
142	81	7.5
143	84	7.5
144	81	7.2
145	80	7.5
146	81	7.4
147	81	7.4
148	81	7.2
149	80	7.5
150	80	7.5
151	80	7.2
152	79	7.4
153	75	7.6
154	71	7.9
155	70	8.3
156	67	8.5
157	67	8.6
158	64	8.9
159	62	9
160	60	9.3
161	59	9.4
162	56	9.6
163	53	9.8
164	52	9.8
165	49	10.1
166	49	10.4
167	50	10.8
168	51	10.8
169	52	10.4
170	52	10.4
171	54	10.3
172	55	10.2
173	60	10.1
174	60	10.1
175	64	9.4
176	65	9.5
177	67	9.2
178	72	8.8
179	73	8.5
180	76	8.3
181	78	8
182	81	7.8
183	81	7.8
184	85	7.7
185	86	7.4
186	87	7.2
187	89	7.5
188	86	7.5
189	88	7.3
190	89	7.4
191	88	7.2
192	91	7.3
193	89	7.3
194	90	7.2
195	92	7.2
196	91	7.3
197	92	7.2
198	92	7.4
199	91	7.4
200	92	7.1
201	93	7.1
202	92	7.1
203	93	7
204	90	7
205	91	6.7
206	91	7.2
207	91	7.2
208	91	7.1
209	90	7.2
210	92	7.2
211	91	7
212	92	6.9
213	93	7
214	93	7
215	97	6.9
216	92	6.6
217	91	6.6
218	95	6.6
219	99	6.6
220	97	6.3
221	99	6.3
222	100	6.2
223	100	6.1
224	104	6
225	103	5.9
226	104	6
227	106	5.8
228	101	5.7
229	102	5.7
230	102	5.7
231	104	5.7
232	102	5.4
233	105	5.6
234	102	5.4
235	104	5.4
236	104	5.6
237	100	5.4
238	104	5.4
239	102	5.3
240	104	5.3
241	104	5.4
242	103	5.2
243	99	5
244	103	5.2
245	98	5.2
246	96	5.3
247	96	5.2
248	95	5.2
249	95	5.3
250	97	5.3
251	94	5.4
252	96	5.4
253	97	5.4
254	92	5.3
255	90	5.2
256	90	5.4
257	86	5.4
258	86	5.2
259	85	5.5
260	82	5.7
261	81	5.9
262	75	5.9
263	71	6.2
264	71	6.3
265	67	6.4
266	64	6.6
267	63	6.8
268	63	6.7
269	61	6.9
270	64	6.9
271	61	6.8
272	60	6.9
273	62	6.9
274	59	7
275	60	7
276	60	7.3
277	59	7.3
278	61	7.4
279	64	7.4
280	61	7.4
281	63	7.6
282	63	7.8
283	61	7.7
284	63	7.6
285	62	7.6
286	62	7.3
287	66	7.4
288	65	7.4
289	66	7.3
290	67	7.1
291	66	7
292	66	7.1
293	68	7.1
294	67	7
295	68	6.9
296	71	6.8
297	71	6.7
298	74	6.8
299	74	6.6
300	75	6.5
301	77	6.6
302	79	6.6
303	80	6.5
304	80	6.4
305	83	6.1
306	81	6.1
307	85	6.1
308	82	6
309	83	5.9
310	88	5.8
311	87	5.6
312	90	5.5
313	87	5.6
314	86	5.4
315	85	5.4
316	86	5.8
317	80	5.6
318	81	5.6
319	85	5.7
320	84	5.7
321	83	5.6
322	84	5.5
323	82	5.6
324	88	5.6
325	85	5.7
326	82	5.5
327	84	5.5
328	82	5.5
329	79	5.6
330	85	5.3
331	82	5.5
332	81	5.1
333	84	5.2
334	81	5.2
335	87	5.4
336	86	5.4
337	85	5.3
338	89	5.3
339	87	5.2
340	86	5
341	82	4.9
342	88	5
343	85	4.8
344	86	4.8
345	89	4.9
346	87	4.7
347	93	4.6
