Table 11.6

Sales/Cash Ratio in U.S. Manufacturing Industries Classified
                by the Asset Size of the Establishment, 1971.1 to 1973.4

  YEAR  = Year and Quarter
  ASSET = Asset Size, Millions of $
          where: A=1 to 10
                 B=10 to 25
                 C=25 to 50
                 D=50 to 100
                 E=100 to 250
                 F=250 to 1000
                 G=1000+

   YEAR       A        B        C        D        E        F        G
  1971.1    6.696    6.929    6.858    6.966    7.819    7.557    7.860
  1971.2    6.826    7.311    7.299    7.081    7.907    7.685    7.351
  1971.3    6.338    7.035    7.082    7.145    7.691    7.309    7.088
  1971.4    6.272    6.265    6.874    6.485    6.778    7.120    6.765
  1972.1    6.692    6.236    7.101    7.060    7.104    7.584    6.717
  1972.2    6.818    7.010    7.719    7.009    8.064    7.457    7.280
  1972.3    6.783    6.934    7.182    6.923    7.784    7.142    6.619
  1972.4    6.779    6.988    6.531    7.146    7.279    6.928    6.919
  1973.1    7.291    7.428    7.272    7.571    7.583    7.053    6.630
  1973.2    7.766    9.071    7.818    8.692    8.608    7.571    6.805
  1973.3    7.733    8.357    8.090    8.357    7.680    7.654    6.772
  1973.4    8.316    7.621    7.766    7.867    7.666    7.380    7.072

