HP	MPG	MPGF		VOL	WT	SP	
49	65.4	53.7006813817	89	17.5	96	
55	56	50.0134011544	92	20	97	
55	55.9	50.0134011544	92	20	97	
70	49	45.6963223751	92	20	105	
53	46.5	50.5042318327	92	20	96	
70	46.2	45.6963223751	89	20	105	
55	45.4	50.0134011544	92	20	97	
62	59.2	46.7165542797	50	22.5	98	
62	53.3	46.7165542797	50	22.5	98	
80	43.4	42.2990781748	94	22.5	107	
73	41.1	44.6528342407	89	22.5	103	
92	40.9	39.3540941048	50	22.5	113	
92	40.9	39.3540941048	99	22.5	113	
73	40.4	44.6528342407	89	22.5	103	
66	39.6	45.7348929231	89	22.5	100	
73	39.3	44.6528342407	89	22.5	103	
78	38.9	42.7899088531	91	22.5	106	
92	38.8	39.3540941048	50	22.5	113	
78	38.2	42.7899088531	91	22.5	106	
90	42.2	38.9018339744	103	25	109	
92	40.9	38.4110032961	99	25	110	
74	40.7	42.8284794011	107	25	101	
95	40	38.3106059704	101	25	111	
81	39.3	40.4747233351	96	25	105	
95	38.8	38.3106059704	89	25	111	
92	38.4	38.4110032961	50	25	110	
92	38.4	38.4110032961	117	25	110	
92	38.4	38.4110032961	99	25	110	
52	46.9	43.4694339031	104	27.5	90	
103	36.3	35.4041924484	107	27.5	112	
84	36.1	39.4312352007	114	27.5	103	
84	36.1	39.4312352007	101	27.5	103	
102	35.4	36.2854564794	97	27.5	111	
102	35.3	36.2854564794	113	27.5	111	
81	35.1	39.5316325264	101	27.5	102	
90	35.1	37.9587431658	98	27.5	106	
90	35	37.9587431658	88	27.5	106	
102	33.2	34.0706682871	86	30	109	
102	32.9	34.0706682871	86	30	109	
130	32.3	31.0141309413	92	30	120	
95	32.2	35.1527269694	113	30	106	
95	32.2	35.1527269694	106	30	106	
102	32.2	34.0706682871	92	30	109	
95	32.2	35.1527269694	88	30	106	
93	31.5	35.6435576478	102	30	105	
100	31.5	34.5614989654	99	30	108	
100	31.4	34.5614989654	111	30	108	
98	31.4	35.0523296438	103	30	107	
130	31.2	31.0141309413	86	30	120	
115	33.7	29.6299359524	101	35	109	
115	32.6	29.6299359524	101	35	109	
115	31.3	29.6299359524	101	35	109	
115	31.3	29.6299359524	124	35	109	
180	30.4	24.4873666675	113	35	133	
160	28.9	26.8522786835	113	35	125	
130	28	27.8562519404	124	35	115	
96	28	31.1135839375	92	35	102	
115	28	29.6299359524	101	35	109	
100	28	30.1319225808	94	35	104	
100	28	28.8602251972	115	35	105	
145	27.7	27.3542653119	111	35	120	
120	25.6	24.6091315638	116	40	107	
140	25.3	23.5159169313	131	40	114	
140	23.9	23.5159169313	123	40	114	
150	23.6	23.6051583069	121	40	117	
165	23.6	23.1031716785	50	40	122	
165	23.6	23.1031716785	114	40	122	
165	23.6	23.1031716785	127	40	122	
165	23.6	23.1031716785	123	40	122	
245	23.5	21.273707916	112	40	148	
280	23.4	19.6785066551	50	40	160	
162	23.4	23.2035690042	135	40	121	
162	23.1	23.2035690042	132	40	121	
140	22.9	19.0863405467	160	45	110	
140	22.9	19.0863405467	129	45	110	
175	19.5	18.7628366695	129	45	121	
322	18.1	20.201854629	50	45	165	
238	17.2	19.1978875974	115	45	140	
263	17	20.0568397281	50	45	147	
295	16.7	19.8337331766	119	45	157	
236	13.2	12.1012628901	107	55	130	
