Table 15.1
Hypothetical Data on Home Ownership and Income
  FAMILY = Family
  Y      = Home Ownership
           where 1=Owns a House
                 0= Does Not Own a House
  X      = Family Income, Thousands of $

  FAMILY    Y    X
     1      0     8
     2      1    16
     3      1    18
     4      0    11
     5      0    12
     6      1    19
     7      1    20
     8      0    13
     9      0     9
    10      0    10
    11      1    17
    12      1    18
    13      0    14
    14      1    20
    15      0     6
    16      1    19
    17      1    16
    18      0    10
    19      0     8
    20      1    18
    21      1    22
    22      1    16
    23      0    12
    24      0    11
    25      1    16
    26      0    11
    27      1    20
    28      1    18
    29      0    11
    30      0    10
    31      1    17
    32      0    13
    33      1    21
    34      1    20
    35      0    11
    36      0     8
    37      1    17
    38      1    16
    39      0     7
    40      1    17


