Table 15.24
Hypothetical Data Set Generated by the Model
            Y=-1+3X+e and Y*=1 if Y>0

  Y  = -1 + 3X + e
  Y* = 1 if Y>0
  X  = X

     Y       Y*    X
  -0.3786    0    0.29
   1.1974    1    0.59
  -0.4648    0    0.14
   1.1400    1    0.81
   0.3188    1    0.35
   2.2013    1    1.00
   2.4473    1    0.80
   0.1153    1    0.40
   0.4110    1    0.07
   2.6950    1    0.87
   2.2009    1    0.98
   0.6389    1    0.28
   4.3192    1    0.99
  -1.9906    0    0.04
  -0.9021    0    0.37
   0.9433    1    0.94
  -3.2235    0    0.04
   0.1690    1    0.07
  -0.3753    0    0.56
   1.9701    1    0.61
  -0.4054    0    0.17
   2.4416    1    0.89
   0.8150    1    0.65
  -0.1223    0    0.23
   0.1428    1    0.26
  -0.6681    0    0.64
   1.8286    1    0.67
  -0.6459    0    0.26
   2.9784    1    0.63
  -2.3326    0    0.09
   0.8056    1    0.54
  -0.8983    0    0.74
  -0.2355    0    0.17
   1.1429    1    0.57
  -0.2965    0    0.18


