Table 16.5

Uemployment rate, Hourly compensation, US, Canda, UK

COM_USA	UN_USA	COM_CAN	UN_CAN	COM_UK	UN_UK	
55.6	7.1	49	7.2	43.7	7	
61.1	7.6	54.1	7.3	44.1	10.5	
67	9.7	59.6	10.6	42.2	11.3	
68.8	9.6	63.9	11.5	39	11.8	
71.2	7.5	64.3	10.9	37.2	11.7	
75.1	7.2	63.5	10.2	39	11.2	
78.5	7	63.3	9.2	47.8	11.2	
80.7	6.2	68	8.4	60.2	10.3	
84	5.5	76	7.3	68.3	8.6	
86.6	5.3	84.1	7	67.7	7.2	
90.8	5.6	91.5	7.7	81.7	6.9	
95.6	6.8	100.1	9.8	90.5	8.8	
100	7.5	100	10.6	100	10.1	
102.7	6.9	95.5	10.7	88.7	10.5	
105.6	6.1	91.7	9.4	92.3	9.7	
107.9	5.6	93.3	8.5	95.9	8.7	
109.3	5.4	93.1	8.7	95.6	8.2	
111.4	4.9	94.4	8.2	103.3	7	
117.3	4.5	90.6	7.5	109.8	6.3	
123.2	4	91.9	5.7	112.2	6.1	
