Table 17.3
Money, Interest Rate, Price Index and GDP, Canada

M1	  	   R        P		GDP	
22175		11.13333  0.77947	334800	
22841		11.16667  0.80861	336708	
23461		11.8	  0.82649	340096	
23427		14.18333  0.84863	341844	
23811		14.38333  0.86693	342776	
23612.33 	12.9833	  0.8895	342264	
24543		10.71667  0.91553	340716	
25638.66	14.53333  0.93743	347780	
25316		17.13333  0.96523	354836	
25501.33	18.56667  0.98774	359352	
25382.33	21.01666  1.01314	356152	
24753		16.61665  1.0341	353636	
25094.33	15.35	  1.05743	349568	
25253.66	16.04999  1.07748	345284	
24936.66	14.31667  1.09666	343028	
25553		10.88333  1.11641	340292	
26755.33	9.61667	  1.12303	346072	
27412		9.31667	  1.13395	353860	
28403.33	9.33333	  1.14721	359544	
28402.33	9.55	  1.16059	362304	
28715.66	10.08333  1.17117	368280	
28996.33	11.45	  1.17406	376768	
28479.33	12.45	  1. 17795	381016	
28669		10.76667  1.18438	385396	
29018.66	10.51667  1.1899	390240	
29398.66	9.66667	  1.20625	391580	
30203.66	9.03333	  1.21492	396384	
31059.33	9.01667	  1.21805	405308	
30745.33	11.03333  1.22408	405680	
30477.66	8.73333	  1.22856	408116	
31563.66	8.46667	  1.23916	409160	
32800.66	8.4	  1.25368	409616	
33958.33	7.25	  1.27117	416484	
35795.66	8.3	  1.28429	422916	
35878.66	9.3	  1.29599	429980	
36336		8.7	  1.31001	436264	
36480.33	8.61667	  1.32325	440592	
37108.66	9.13333	  1.33219	446680	
38423		10.05	  1.35065	450328	
38480.66	10.83333  1.36648	453516	
