Table 20.2 

Selected Macroeconomic Data, United States, 1970-1999

  YEAR = Year
  Y1   = Gross Domestic Product, Billions of $
  Y2   = Money Supply, Billions of $
  X1   = Gross Private Domestic Investment, Billions of $
  X2   = Federal Government Expenditure, Billions of $
  X3   = Interest Rate on 6-Month Treasury Bills, Percent

  YEAR      Y1        Y2       X1        X2        X3
  1970    3578.0     626.4    436.2     198.6     6.562
  1971    3697.7     710.1    485.8     216.6     4.511
  1972    3998.4     802.1    543.0     240.0     4.466
  1973    4123.4     855.2    606.5     259.7     7.178
  1974    4099.0     901.9    561.7     291.2     7.926
  1975    4084.4    1015.9    462.2     345.4     6.122
  1976    4311.7    1151.7    555.5     371.9     5.266
  1977    4511.8    1269.9    639.4     405.0     5.510
  1978    4760.6    1365.5    713.0     444.2     7.572
  1979    4912.1    1473.1    735.4     489.6    10.017
  1980    4900.9    1599.1    655.3     576.6    11.374
  1981    5021.0    1754.6    715.6     659.3    13.776
  1982    4913.3    1909.5    615.2     732.1    11.084
  1983    5132.3    2126.0    673.7     797.8     8.750
  1984    5505.2    2309.7    871.5     856.1     9.800
  1985    5717.1    2495.4    863.4     924.6     7.660
  1986    5912.4    2732.1    857.7     978.5     6.030
  1987    6113.3    2831.1    879.3    1018.4     6.050
  1988    6368.4    2994.3    902.8    1066.2     6.920
  1989    6591.9    3158.4    936.5    1140.3     8.040
  1990    6707.9    3277.6    907.3    1228.7     7.470
  1991    6676.4    3376.8    829.5    1287.6     5.490
  1992	  6880.0    3430.7    899.8    1418.9     3.570
  1993    7062.6    3484.4    977.9    1471.5     3.140
  1994    7347.7    3499.0    1107.0   1506.0     4.660
  1995    7343.8    3641.9    1140.6   1575.7     5.590
  1996    7813.2    3813.3    1242.7   1635.9     5.090
  1997    8159.5    4028.9    1393.3   1678.8     5.180
  1998    8515.7    4380.6    1566.8   1705.0     4.850
  1999    8875.8    4643.7    1669.7   1750.2     4.760
