Table 5.10: U.S. CPI and WPI, 1960-1999

YEAR	CPI	WPI	

1960	29.8	31.7	
1961	30	31.6	
1962	30.4	31.6	
1963	30.9	31.6	
1964	31.2	31.7	
1965	31.8	32.8	
1966	32.9	33.3	
1967	33.9	33.7	
1968	35.5	34.6	
1969	37.7	36.3	
1970	39.8	37.1	
1971	41.1	38.6	
1972	42.5	41.1	
1973	46.2	47.4	
1974	51.9	57.3	
1975	55.5	59.7	
1976	58.2	62.5	
1977	62.1	66.2	
1978	67.7	72.7	
1979	76.7	83.4	
1980	86.3	93.8	
1981	94	98.8	
1982	97.6	100.5	
1983	101.3	102.3	
1984	105.3	103.5	
1985	109.3	103.6	
1986	110.5	99.7	
1987	115.4	104.2	
1988	120.5	109	
1989	126.1	113	
1990	133.8	118.7	
1991	137.9	115.9	
1992	141.9	117.6	
1993	145.8	118.6	
1994	149.7	121.9	
1995	153.5	125.7	
1996	158.6	128.8	
1997	161.3	126.7	
1998	163.9	122.7	
1999	168.3	128	
