Table 7.10
Demand for Money in the USA, 1980-1998

YEAR	GDP	M2	CPI	LTRATE	TBRATE	
1980	2795.6	1600.4	82.4	11.27	11.506	
1981	3131.3	1756.1	90.9	13.45	14.029	
1982	3259.2	1911.2	96.5	12.76	10.686	
1983	3534.9	2127.8	99.6	11.18	8.63	
1984	3932.7	2311.7	103.9	12.41	9.58	
1985	4213	2497.4	107.6	10.79	7.48	
1986	4452.9	2734	109.6	7.78	5.98	
1987	4742.5	2832.8	113.6	8.59	5.82	
1988	5108.3	2995.8	118.3	8.96	6.69	
1989	5489.1	3159.9	124	8.45	8.12	
1990	5803.2	3279.1	130.7	8.61	7.51	
1991	5986.2	3379.8	136.2	8.14	5.42	
1992	6318.9	3434.1	140.3	7.67	3.45	
1993	6642.3	3487.5	144.5	6.59	3.02	
1994	7054.3	3502.2	148.2	7.37	4.29	
1995	7400.5	3649.3	152.4	6.88	5.51	
1996	7813.2	3824.2	156.9	6.71	5.02	
1997	8300.8	4046.7	160.5	6.61	5.07	
1998	8759.9	4401.4	163	5.58	4.81	
