Table 7.11
Greek Industrial sector

obs	OUTPUT	CAPITAL	LABOR	CLRATIO	

1961	35.858	59.6	637	0.0936	
1962	37.504	64.2	643.2	0.0998	
1963	40.378	68.8	651	0.1057	
1964	46.147	75.5	685.7	0.1101	
1965	51.047	84.4	710.7	0.1188	
1966	53.871	91.8	724.3	0.1267	
1967	56.834	99.9	735.2	0.1359	
1968	65.439	109.1	760.3	0.1435	
1969	74.939	120.7	777.6	0.1552	
1970	80.976	132	780.8	0.1691	
1971	90.802	146.6	825.8	0.1775	
1972	101.955	162.7	864.1	0.1883	
1973	114.367	180.6	894.2	0.202	
1974	101.823	197.1	891.2	0.2212	
1975	107.572	209.6	887.5	0.2362	
1976	117.6	221.9	892.3	0.2487	
1977	123.224	232.5	930.1	0.25	
1978	130.971	243.5	969.9	0.2511	
1979	138.842	257.7	1006.9	0.2559	
1980	135.486	274.4	1020.9	0.2688	
1981	133.441	289.5	1017.1	0.2846	
1982	130.388	301.9	1016.1	0.2971	
1983	130.615	314.9	1008.1	0.3124	
1984	132.244	327.7	985.1	0.3327	
1985	137.318	339.4	977.1	0.3474	
1986	137.468	349.492	1007.2	0.347	
1987	135.75	358.231	1000	0.3582	
					
					
					
