Table 7.3 
Real Gross Product, Labor Days and Real Capital Input in the
            Agricultural Sector, Taiwan, 1958-1972
  YEAR = Year
  Y    = Real Gross Product, Millions of NT $
  X2   = Labor Days, Millions of Days
  X3   = Real Capital Input, Millions of NT $

  YEAR       Y         X2        X3
  1958    16607.7    275.5    17803.7
  1959    17511.3    274.4    18096.8
  1960    20171.2    269.7    18271.8
  1961    20932.9    267.0    19167.3
  1962    20406.0    267.8    19647.6
  1963    20831.6    275.0    20803.5
  1964    24806.3    283.0    22076.6
  1965    26465.8    300.7    23445.2
  1966    27403.0    307.5    24939.0
  1967    28628.7    303.7    26713.7
  1968    29904.5    304.7    29957.8
  1969    27508.2    298.6    31585.9
  1970    29035.5    295.5    33474.5
  1971    29281.5    299.0    34821.8
  1972    31535.8    288.1    41794.3

