Table 9.1
Average Salary of Public School Teachers, by state

obs	SALARY	SPENDING	D1	D2	
					
1	 19583.00	 3346.000	 1.000000	 0.000000	
2	 20263.00	 3114.000	 1.000000	 0.000000	
3	 20325.00	 3554.000	 1.000000	 0.000000	
4	 26800.00	 4642.000	 1.000000	 0.000000	
5	 29470.00	 4669.000	 1.000000	 0.000000	
6	 26610.00	 4888.000	 1.000000	 0.000000	
7	 30678.00	 5710.000	 1.000000	 0.000000	
8	 27170.00	 5536.000	 1.000000	 0.000000	
9	 25853.00	 4168.000	 1.000000	 0.000000	
10	 24500.00	 3547.000	 1.000000	 0.000000	
11	 24274.00	 3159.000	 1.000000	 0.000000	
12	 27170.00	 3621.000	 1.000000	 0.000000	
13	 30168.00	 3782.000	 1.000000	 0.000000	
14	 26525.00	 4247.000	 1.000000	 0.000000	
15	 27360.00	 3982.000	 1.000000	 0.000000	
16	 21690.00	 3568.000	 1.000000	 0.000000	
17	 21974.00	 3155.000	 1.000000	 0.000000	
18	 20816.00	 3059.000	 1.000000	 0.000000	
19	 18095.00	 2967.000	 1.000000	 0.000000	
20	 20939.00	 3285.000	 1.000000	 0.000000	
21	 22644.00	 3914.000	 1.000000	 0.000000	
22	 24624.00	 4517.000	 0.000000	 1.000000	
23	 27186.00	 4349.000	 0.000000	 1.000000	
24	 33990.00	 5020.000	 0.000000	 1.000000	
25	 23382.00	 3594.000	 0.000000	 1.000000	
26	 20627.00	 2821.000	 0.000000	 1.000000	
27	 22795.00	 3366.000	 0.000000	 1.000000	
28	 21570.00	 2920.000	 0.000000	 1.000000	
29	 22080.00	 2980.000	 0.000000	 1.000000	
30	 22250.00	 3731.000	 0.000000	 1.000000	
31	 20940.00	 2853.000	 0.000000	 1.000000	
32	 21800.00	 2533.000	 0.000000	 1.000000	
33	 22934.00	 2729.000	 0.000000	 1.000000	
34	 18443.00	 2305.000	 0.000000	 1.000000	
35	 19538.00	 2642.000	 0.000000	 1.000000	
36	 20460.00	 3124.000	 0.000000	 1.000000	
37	 21419.00	 2752.000	 0.000000	 1.000000	
38	 25160.00	 3429.000	 0.000000	 1.000000	
39	 22482.00	 3947.000	 0.000000	 0.000000	
40	 20969.00	 2509.000	 0.000000	 0.000000	
41	 27224.00	 5440.000	 0.000000	 0.000000	
42	 25892.00	 4042.000	 0.000000	 0.000000	
43	 22644.00	 3402.000	 0.000000	 0.000000	
44	 24640.00	 2829.000	 0.000000	 0.000000	
45	 22341.00	 2297.000	 0.000000	 0.000000	
46	 25610.00	 2932.000	 0.000000	 0.000000	
47	 26015.00	 3705.000	 0.000000	 0.000000	
48	 25788.00	 4123.000	 0.000000	 0.000000	
49	 29132.00	 3608.000	 0.000000	 0.000000	
50	 41480.00	 8349.000	 0.000000	 0.000000	
51	 25845.00	 3766.000	 0.000000	 0.000000	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
