Table 9.4
US Regrigerator Sales ('000), 1978-1995 (quarterly)

FRIG	DUR	D2	D3	D4	
1317	252.6	0	0	0	
1615	272.4	1	0	0	
1662	270.9	0	1	0	
1295	273.9	0	0	1	
1271	268.9	0	0	0	
1555	262.9	1	0	0	
1639	270.9	0	1	0	
1238	263.4	0	0	1	
1277	260.6	0	0	0	
1258	231.9	1	0	0	
1417	242.7	0	1	0	
1185	248.6	0	0	1	
1196	258.7	0	0	0	
1410	248.4	1	0	0	
1417	255.5	0	1	0	
919	240.4	0	0	1	
943	247.7	0	0	0	
1175	249.1	1	0	0	
1269	251.8	0	1	0	
973	262	0	0	1	
1102	263.3	0	0	0	
1344	280	1	0	0	
1641	288.5	0	1	0	
1225	300.5	0	0	1	
1429	312.6	0	0	0	
1699	322.5	1	0	0	
1749	324.3	0	1	0	
1117	333.1	0	0	1	
1242	344.8	0	0	0	
1684	350.3	1	0	0	
1764	369.1	0	1	0	
1328	356.4	0	0	1

