Yen/Dollar Exchange Rate,
January 1971 to December 1998

Ex = Yen/$
Time: 1 = January 1971
    336 = December 1998


TIME	EX	
1	358.02	
2	357.55	
3	357.52	
4	357.5	
5	357.41	
6	357.41	
7	357.4	
8	355.78	
9	338.02	
10	331.11	
11	328.75	
12	320.07	
13	312.72	
14	305.19	
15	302.54	
16	303.56	
17	304.38	
18	302.41	
19	301.03	
20	301.16	
21	301.12	
22	301.01	
23	300.99	
24	301.24	
25	301.79	
26	278.42	
27	261.9	
28	265.49	
29	264.65	
30	264.5	
31	264.55	
32	265.22	
33	265.47	
34	266.33	
35	278.26	
36	280.18	
37	298.13	
38	291.09	
39	282.16	
40	277.77	
41	278.97	
42	282.97	
43	290.98	
44	302.28	
45	299.08	
46	299.36	
47	300.08	
48	300.41	
49	299.68	
50	291.66	
51	287.95	
52	292.2	
53	291.43	
54	293.47	
55	296.37	
56	297.98	
57	299.91	
58	302.34	
59	302.55	
60	305.67	
61	304.64	
62	301.59	
63	300.52	
64	299.11	
65	299	
66	299.19	
67	294.64	
68	290.63	
69	287.36	
70	291.19	
71	295.17	
72	294.7	
73	291.05	
74	285.02	
75	280.23	
76	275.21	
77	277.43	
78	272.86	
79	264.86	
80	266.68	
81	266.77	
82	254.74	
83	244.7	
84	241.02	
85	241.08	
86	240.37	
87	231.86	
88	221.86	
89	226.18	
90	214.11	
91	199.7	
92	188.71	
93	189.92	
94	183.63	
95	192.14	
96	195.96	
97	197.76	
98	200.51	
99	206.32	
100	216.29	
101	218.41	
102	218.6	
103	216.51	
104	217.93	
105	222.41	
106	230.48	
107	244.98	
108	240.37	
109	237.89	
110	244.35	
111	248.48	
112	250.28	
113	228.63	
114	217.92	
115	221.14	
116	223.91	
117	214.42	
118	209.32	
119	213.11	
120	209.49	
121	202.37	
122	205.72	
123	208.79	
124	214.98	
125	220.63	
126	224.18	
127	232.33	
128	233.33	
129	229.48	
130	231.52	
131	223.13	
132	218.95	
133	224.81	
134	235.31	
135	241.23	
136	244.11	
137	236.96	
138	251.2	
139	255.03	
140	259.05	
141	263.29	
142	271.62	
143	264.09	
144	241.94	
145	232.73	
146	236.12	
147	238.25	
148	237.75	
149	234.76	
150	240.03	
151	240.52	
152	244.46	
153	242.35	
154	232.89	
155	235.03	
156	234.46	
157	233.8	
158	233.6	
159	225.27	
160	225.2	
161	230.48	
162	233.57	
163	243.07	
164	242.26	
165	245.46	
166	246.75	
167	243.63	
168	247.96	
169	254.18	
170	260.48	
171	257.92	
172	251.85	
173	251.73	
174	248.84	
175	241.14	
176	237.46	
177	236.53	
178	214.68	
179	204.07	
180	202.79	
181	199.89	
182	184.85	
183	178.69	
184	175.09	
185	167.03	
186	167.54	
187	158.61	
188	154.18	
189	154.73	
190	156.47	
191	162.85	
192	162.05	
193	154.83	
194	153.41	
195	151.43	
196	142.9	
197	140.48	
198	144.55	
199	150.29	
200	147.33	
201	143.29	
202	143.32	
203	135.4	
204	128.24	
205	127.69	
206	129.17	
207	127.11	
208	124.9	
209	124.79	
210	127.47	
211	133.02	
212	133.77	
213	134.32	
214	128.68	
215	123.2	
216	123.61	
217	127.36	
218	127.74	
219	130.55	
220	132.04	
221	137.86	
222	143.98	
223	140.42	
224	141.49	
225	145.07	
226	142.21	
227	143.53	
228	143.69	
229	144.98	
230	145.69	
231	153.31	
232	158.46	
233	154.04	
234	153.7	
235	149.04	
236	147.46	
237	138.44	
238	129.59	
239	129.22	
240	133.89	
241	133.7	
242	130.54	
243	137.39	
244	137.11	
245	138.22	
246	139.75	
247	137.83	
248	136.82	
249	134.3	
250	130.77	
251	129.63	
252	128.04	
253	125.46	
254	127.7	
255	132.86	
256	133.54	
257	130.77	
258	126.84	
259	125.88	
260	126.23	
261	122.6	
262	121.17	
263	123.88	
264	124.04	
265	124.99	
266	120.76	
267	117.02	
268	112.41	
269	110.34	
270	107.41	
271	107.69	
272	103.77	
273	105.57	
274	107.02	
275	107.88	
276	109.91	
277	111.44	
278	106.3	
279	105.1	
280	103.48	
281	103.75	
282	102.53	
283	98.45	
284	99.94	
285	98.77	
286	98.35	
287	98.04	
288	100.18	
289	99.77	
290	98.24	
291	90.52	
292	83.69	
293	85.11	
294	84.64	
295	87.4	
296	94.74	
297	100.55	
298	100.84	
299	101.94	
300	101.85	
301	105.75	
302	105.79	
303	105.94	
304	107.2	
305	106.34	
306	108.96	
307	109.19	
308	107.87	
309	109.93	
310	112.41	
311	112.3	
312	113.98	
313	117.91	
314	122.96	
315	122.77	
316	125.64	
317	119.19	
318	114.29	
319	115.38	
320	117.93	
321	120.89	
322	121.06	
323	125.38	
324	129.73	
325	129.55	
326	125.85	
327	129.08	
328	131.75	
329	134.9	
330	140.33	
331	140.79	
332	144.68	
333	134.48	
334	121.05	
335	120.29	
336	117.07	
