"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","24,44","25,02","3,13","24,43","25,18","14,48M"
"27/12/2018","23,90","24,26","1,46","23,80","24,59","9,75M"
"26/12/2018","24,00","23,91","-0,79","23,39","24,25","14,97M"
"21/12/2018","24,20","24,10","-0,78","23,76","24,68","23,17M"
"20/12/2018","24,34","24,29","-0,21","24,11","24,70","13,85M"
"19/12/2018","24,37","24,34","-0,53","24,31","25,10","15,24M"
"18/12/2018","24,32","24,47","1,07","24,07","25,09","23,16M"
"17/12/2018","24,42","24,21","-0,98","23,91","24,58","24,62M"
"14/12/2018","24,68","24,45","-0,97","24,27","24,88","13,91M"
"13/12/2018","24,16","24,69","1,06","24,16","24,85","12,25M"
"12/12/2018","24,14","24,43","1,29","24,14","24,77","13,59M"
"11/12/2018","24,01","24,12","1,86","24,01","24,60","20,14M"
"10/12/2018","23,88","23,68","-0,84","23,61","24,93","18,21M"
"07/12/2018","23,40","23,88","2,05","23,15","23,98","13,56M"
"06/12/2018","23,58","23,40","-1,56","23,10","24,09","15,15M"
"05/12/2018","23,17","23,77","2,02","23,17","23,85","8,61M"
"04/12/2018","23,13","23,30","1,26","23,00","23,74","13,35M"
"03/12/2018","23,15","23,01","0,04","22,80","23,39","5,17M"
"30/11/2018","23,36","23,00","-1,54","22,74","23,43","8,52M"
"29/11/2018","23,26","23,36","0,39","22,94","23,70","9,98M"
"28/11/2018","22,98","23,27","1,26","22,62","23,40","5,87M"
"27/11/2018","22,62","22,98","1,82","22,54","23,04","5,78M"
"26/11/2018","23,09","22,57","-2,76","22,18","23,49","5,80M"
"23/11/2018","23,65","23,21","-1,07","22,73","23,65","5,65M"
"22/11/2018","23,25","23,46","0,90","23,16","23,69","10,38M"
"21/11/2018","23,25","23,25","0,82","22,43","23,50","24,37M"
"19/11/2018","23,20","23,06","-0,39","22,62","23,20","5,27M"
"16/11/2018","22,46","23,15","2,21","22,46","23,26","11,46M"
"14/11/2018","21,67","22,65","4,47","21,35","22,65","13,65M"
"13/11/2018","22,40","21,68","-3,00","21,31","22,65","14,64M"
"12/11/2018","22,09","22,35","1,59","21,71","22,36","12,63M"
"09/11/2018","21,34","22,00","2,33","21,12","22,20","8,02M"
"08/11/2018","22,10","21,50","-2,71","21,50","22,43","11,34M"
"07/11/2018","22,61","22,10","-2,21","21,98","22,89","12,19M"
"06/11/2018","22,89","22,60","-1,31","22,37","23,48","11,85M"
"05/11/2018","23,05","22,90","-1,25","22,55","23,38","12,49M"
"01/11/2018","23,91","23,19","-3,29","23,19","23,91","12,58M"
"31/10/2018","23,64","23,98","0,93","23,23","24,08","40,59M"
"30/10/2018","22,16","23,76","7,03","22,16","23,76","19,35M"
"29/10/2018","22,58","22,20","0,36","22,11","23,16","21,27M"
"26/10/2018","21,85","22,12","1,33","21,41","22,25","14,25M"
"25/10/2018","22,20","21,83","-1,13","21,69","22,36","12,04M"
"24/10/2018","22,02","22,08","-0,18","21,84","22,44","13,52M"
"23/10/2018","21,37","22,12","1,47","20,70","22,17","18,10M"
"22/10/2018","20,32","21,80","9,88","20,29","22,15","30,87M"
"19/10/2018","19,40","19,84","2,90","19,27","20,11","11,65M"
"18/10/2018","19,91","19,28","-2,13","19,25","19,91","20,94M"
"17/10/2018","19,23","19,70","2,34","19,23","19,70","20,50M"
"16/10/2018","19,00","19,25","2,50","18,75","19,60","6,55M"
"15/10/2018","19,00","18,78","-0,11","18,70","19,22","5,19M"
"11/10/2018","19,41","18,80","-3,34","18,80","19,65","4,71M"
"10/10/2018","20,09","19,45","-4,33","19,43","20,09","9,55M"
"09/10/2018","19,68","20,33","3,36","19,53","20,33","6,63M"
"08/10/2018","19,42","19,67","4,35","19,42","20,07","10,34M"
"05/10/2018","18,66","18,85","1,24","18,50","18,93","5,19M"
"04/10/2018","18,50","18,62","-0,75","17,77","18,75","12,30M"
"03/10/2018","17,59","18,76","8,50","17,56","19,07","22,68M"
"02/10/2018","16,68","17,29","4,72","16,68","17,39","6,90M"
"01/10/2018","16,91","16,51","-1,73","16,40","16,95","7,28M"
"28/09/2018","17,12","16,80","-2,10","16,57","17,15","6,43M"
"27/09/2018","16,74","17,16","3,31","16,68","17,16","3,91M"
"26/09/2018","16,50","16,61","0,97","16,50","16,90","4,17M"
"25/09/2018","16,60","16,45","-2,08","16,31","16,64","4,56M"
"24/09/2018","16,69","16,80","1,33","16,48","16,83","5,96M"
"21/09/2018","16,56","16,58","0,12","16,51","16,86","4,45M"
"20/09/2018","17,00","16,56","-2,19","16,51","17,27","7,58M"
"19/09/2018","16,27","16,93","3,04","16,27","17,39","11,19M"
"18/09/2018","16,45","16,43","-0,24","16,24","16,59","4,88M"
"17/09/2018","15,82","16,47","3,91","15,77","16,50","4,61M"
"14/09/2018","15,65","15,85","1,34","15,65","15,93","3,53M"
"13/09/2018","16,09","15,64","-2,31","15,52","16,09","9,20M"
"12/09/2018","15,93","16,01","0,50","15,77","16,30","5,69M"
"11/09/2018","15,99","15,93","-1,06","15,62","16,05","8,97M"
"10/09/2018","15,97","16,10","2,09","15,94","16,19","6,32M"
"06/09/2018","16,00","15,77","-0,57","15,45","16,00","6,70M"
"05/09/2018","15,72","15,86","0,70","15,55","15,92","2,58M"
"04/09/2018","16,06","15,75","-1,87","15,67","16,18","6,96M"
"03/09/2018","16,05","16,05","0,00","15,92","16,26","4,15M"
"31/08/2018","16,33","16,05","-1,71","16,05","16,44","8,33M"
"30/08/2018","16,45","16,33","-0,79","16,13","16,47","4,15M"
"29/08/2018","16,35","16,46","0,24","16,35","16,74","2,37M"
"28/08/2018","16,62","16,42","-1,08","16,27","16,77","3,91M"
"27/08/2018","16,04","16,60","3,17","16,04","16,65","5,96M"
"24/08/2018","15,94","16,09","0,94","15,91","16,35","7,40M"
"23/08/2018","16,23","15,94","-1,18","15,85","16,46","7,67M"
"22/08/2018","15,68","16,13","2,87","15,61","16,17","10,50M"
"21/08/2018","16,14","15,68","-3,09","15,55","16,29","12,49M"
"20/08/2018","16,35","16,18","-2,41","16,11","16,46","9,41M"
"17/08/2018","16,82","16,58","-1,31","16,11","16,82","11,28M"
"16/08/2018","17,15","16,80","-1,87","16,64","17,43","4,67M"
"15/08/2018","17,39","17,12","-2,12","16,92","17,69","7,23M"
"14/08/2018","16,71","17,49","5,30","16,66","17,49","6,79M"
"13/08/2018","16,76","16,61","-2,01","16,40","17,10","7,97M"
"10/08/2018","17,20","16,95","-1,28","16,42","17,20","12,65M"
"09/08/2018","17,78","17,17","-3,49","17,01","17,90","8,59M"
"08/08/2018","18,01","17,79","-1,22","17,66","18,15","5,23M"
"07/08/2018","18,15","18,01","0,28","17,79","18,35","7,11M"
"06/08/2018","18,14","17,96","-0,33","17,93","18,21","7,64M"
"03/08/2018","17,83","18,02","2,15","17,82","18,31","8,12M"
"02/08/2018","18,03","17,64","-1,34","17,56","18,24","8,41M"
"01/08/2018","17,55","17,88","3,23","17,49","17,91","11,24M"
"31/07/2018","17,69","17,32","-1,59","17,21","17,69","7,35M"
"30/07/2018","17,96","17,60","-0,85","17,47","18,00","6,16M"
"27/07/2018","18,50","17,75","-3,16","17,75","18,51","9,54M"
"26/07/2018","19,21","18,33","-3,48","18,10","19,22","11,10M"
"25/07/2018","18,46","18,99","3,15","18,46","19,20","10,56M"
"24/07/2018","17,97","18,41","4,31","17,96","18,50","8,24M"
"23/07/2018","18,15","17,65","-2,27","17,64","18,40","6,79M"
"20/07/2018","17,46","18,06","3,79","17,46","18,38","7,70M"
"19/07/2018","16,80","17,40","2,90","16,47","17,40","4,09M"
"18/07/2018","17,04","16,91","-1,00","16,70","17,24","6,00M"
"17/07/2018","17,21","17,08","-0,87","16,92","17,40","5,71M"
"16/07/2018","17,50","17,23","-2,10","17,20","17,69","4,09M"
"13/07/2018","17,44","17,60","1,32","17,11","17,85","13,72M"
"12/07/2018","16,50","17,37","5,72","16,47","17,50","10,86M"
"11/07/2018","17,04","16,43","-3,35","16,43","17,04","5,86M"
"10/07/2018","17,02","17,00","0,53","16,56","17,15","7,85M"
"06/07/2018","16,70","16,91","0,71","16,66","17,00","4,44M"
"05/07/2018","16,28","16,79","2,69","16,28","17,00","5,49M"
"04/07/2018","16,27","16,35","1,30","15,95","16,59","6,47M"
"03/07/2018","16,43","16,14","-0,92","15,92","16,80","8,26M"
"02/07/2018","16,09","16,29","0,99","15,98","16,47","3,65M"
"29/06/2018","15,92","16,13","1,90","15,78","16,20","8,46M"
"28/06/2018","16,07","15,83","-0,44","15,83","16,24","4,91M"
"27/06/2018","16,03","15,90","-0,63","15,84","16,29","4,75M"
"26/06/2018","16,01","16,00","-0,25","15,77","16,52","8,10M"
