"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","21,90","22,46","4,66","21,87","22,61","1,37B"
"27/12/2018","21,31","21,46","-0,05","21,07","21,77","1,59B"
"26/12/2018","20,39","21,47","3,98","20,22","21,47","1,61B"
"21/12/2018","20,50","20,65","0,28","20,36","21,06","1,87B"
"20/12/2018","21,38","20,59","-3,42","20,46","21,39","2,95B"
"19/12/2018","21,56","21,32","1,14","21,14","22,08","3,68B"
"18/12/2018","21,83","21,08","-3,80","21,08","21,85","1,60B"
"17/12/2018","22,25","21,91","-0,78","21,85","22,30","1,19B"
"14/12/2018","22,11","22,08","-1,33","22,00","22,35","1,00B"
"13/12/2018","22,31","22,38","0,26","22,00","22,47","1,38B"
"12/12/2018","22,75","22,32","0,04","22,23","22,90","1,43B"
"11/12/2018","22,92","22,31","-0,64","22,10","23,06","1,45B"
"10/12/2018","23,73","22,46","-5,37","22,46","23,86","1,69B"
"07/12/2018","23,49","23,73","0,73","23,43","24,40","2,12B"
"06/12/2018","23,94","23,56","-3,79","23,29","24,07","2,34B"
"05/12/2018","24,40","24,49","0,87","23,91","24,64","1,32B"
"04/12/2018","25,15","24,28","-2,31","24,28","25,23","1,65B"
"03/12/2018","25,20","24,85","1,89","24,72","25,42","2,28B"
"30/11/2018","24,06","24,39","1,15","24,02","24,49","2,21B"
"29/11/2018","23,92","24,12","-0,83","23,84","24,43","1,59B"
"28/11/2018","24,43","24,32","-0,59","24,00","24,79","2,27B"
"27/11/2018","23,35","24,46","5,28","23,25","24,62","2,17B"
"26/11/2018","23,76","23,23","-0,49","23,04","23,94","1,46B"
"23/11/2018","23,62","23,35","-3,10","23,00","23,76","1,81B"
"22/11/2018","24,22","24,10","0,32","24,02","24,30","754,45M"
"21/11/2018","24,02","24,02","-3,19","23,87","24,32","1,85B"
"19/11/2018","24,39","24,81","0,77","24,27","25,09","1,97B"
"16/11/2018","24,23","24,62","2,79","24,02","24,85","2,46B"
"14/11/2018","23,13","23,95","3,55","22,82","24,04","2,45B"
"13/11/2018","24,16","23,13","-4,30","22,86","24,16","2,65B"
"12/11/2018","24,37","24,17","-0,51","24,13","24,74","1,54B"
"09/11/2018","24,05","24,30","0,43","23,55","24,55","2,26B"
"08/11/2018","25,58","24,19","-3,61","24,19","25,80","2,97B"
"07/11/2018","26,35","25,10","-3,27","25,06","26,39","2,45B"
