"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","40,47","40,62","2,40","40,02","41,00","74,51M"
"27/12/2018","39,23","39,67","0,70","39,23","39,93","55,32M"
"26/12/2018","39,87","39,39","-1,59","39,01","39,88","45,26M"
"21/12/2018","40,31","40,03","-0,71","40,03","40,89","104,14M"
"20/12/2018","41,84","40,31","-2,48","40,02","42,16","60,56M"
"19/12/2018","42,04","41,34","-1,23","41,34","42,58","62,54M"
"18/12/2018","40,91","41,85","3,19","40,91","42,04","77,73M"
"17/12/2018","41,40","40,56","-2,34","40,56","41,46","37,32M"
"14/12/2018","40,72","41,53","0,55","40,68","42,03","42,73M"
"13/12/2018","40,40","41,30","1,85","40,39","41,38","38,67M"
"12/12/2018","40,04","40,55","2,28","39,94","40,95","49,18M"
"11/12/2018","40,90","39,65","-1,47","39,51","40,90","47,16M"
"10/12/2018","41,42","40,24","-3,09","40,24","41,71","43,83M"
"07/12/2018","41,20","41,52","0,07","40,50","42,62","97,07M"
"06/12/2018","40,14","41,49","1,44","40,14","41,49","61,56M"
"05/12/2018","40,81","40,90","1,22","40,33","40,90","23,99M"
"04/12/2018","41,21","40,41","-1,35","39,77","41,54","58,90M"
"03/12/2018","41,24","40,96","0,80","40,65","41,79","54,06M"
"30/11/2018","41,65","40,64","-1,79","40,64","41,84","91,68M"
"29/11/2018","40,72","41,38","1,09","40,35","41,65","63,04M"
"28/11/2018","39,85","40,93","2,45","39,63","41,07","56,91M"
"27/11/2018","38,85","39,95","3,19","38,76","40,06","71,39M"
"26/11/2018","40,27","38,72","-3,58","38,45","40,65","99,19M"
"23/11/2018","39,76","40,15","1,03","39,53","40,19","34,74M"
"22/11/2018","40,00","39,74","-1,09","39,63","40,42","29,36M"
"21/11/2018","40,18","40,18","-1,22","39,73","40,33","44,21M"
"19/11/2018","40,63","40,68","-0,63","40,03","40,71","46,88M"
"16/11/2018","39,95","40,93","3,44","39,85","40,93","67,59M"
"14/11/2018","39,48","39,57","0,24","39,03","40,01","46,24M"
"13/11/2018","40,07","39,48","-1,45","39,28","40,19","53,57M"
"12/11/2018","39,62","40,06","1,10","39,21","40,41","52,16M"
"09/11/2018","38,91","39,62","1,91","38,40","39,94","48,63M"
"08/11/2018","39,40","38,88","-1,21","38,81","39,94","50,86M"
"07/11/2018","39,71","39,35","0,05","38,91","39,93","85,96M"
"06/11/2018","38,91","39,33","-0,70","38,91","39,75","75,24M"
"05/11/2018","39,83","39,61","-0,38","38,95","40,03","195,71M"
"01/11/2018","40,50","39,76","-0,95","39,15","40,67","243,43M"
"31/10/2018","41,85","40,14","-5,17","39,48","42,52","174,43M"
"30/10/2018","41,37","42,33","4,05","40,49","42,74","99,36M"
"29/10/2018","42,60","40,68","-1,25","40,00","42,99","87,29M"
"26/10/2018","39,56","41,20","3,12","39,56","41,26","75,44M"
"25/10/2018","38,99","39,95","3,58","38,40","40,28","54,58M"
"24/10/2018","39,53","38,57","-2,62","38,43","39,53","54,58M"
"23/10/2018","38,16","39,61","1,14","37,88","39,86","78,10M"
"22/10/2018","38,56","39,16","2,74","38,56","39,46","57,67M"
"19/10/2018","38,54","38,12","-0,20","38,12","38,94","64,10M"
"18/10/2018","38,84","38,19","-2,45","38,19","39,15","41,23M"
"17/10/2018","38,71","39,15","0,32","38,30","39,74","56,27M"
"16/10/2018","38,53","39,03","3,27","38,02","39,03","56,53M"
"15/10/2018","38,24","37,79","1,02","37,72","38,28","40,90M"
"11/10/2018","39,00","37,41","-1,03","37,41","39,00","75,03M"
"10/10/2018","39,00","37,80","-4,70","37,80","39,59","65,75M"
"09/10/2018","39,48","39,67","0,41","39,36","40,20","81,67M"
"08/10/2018","41,02","39,50","5,57","39,44","41,02","123,89M"
"05/10/2018","38,47","37,42","-1,18","37,42","38,75","91,15M"
"04/10/2018","37,38","37,86","0,96","37,10","38,13","75,79M"
"03/10/2018","37,21","37,51","5,07","36,98","38,05","125,50M"
"02/10/2018","34,11","35,70","7,44","34,11","35,90","78,86M"
"01/10/2018","33,85","33,22","-1,82","33,17","33,96","28,38M"
