"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","50,31","51,00","3,03","50,25","51,20","603,86M"
"27/12/2018","50,10","49,50","-1,86","49,28","50,39","714,97M"
"26/12/2018","50,11","50,44","-0,83","49,40","50,70","669,74M"
"21/12/2018","50,28","50,86","2,11","50,22","51,25","1,44B"
"20/12/2018","50,74","49,81","-0,40","49,45","51,17","1,28B"
"19/12/2018","51,80","50,01","-2,78","50,01","52,40","1,26B"
"18/12/2018","51,35","51,44","0,37","51,35","52,19","983,19M"
"17/12/2018","51,90","51,25","0,73","51,03","52,27","1,10B"
"14/12/2018","50,38","50,88","0,55","49,85","51,19","858,32M"
"13/12/2018","50,85","50,60","0,46","50,25","51,28","768,70M"
"12/12/2018","51,15","50,37","-0,45","50,35","51,40","805,00M"
"11/12/2018","51,15","50,60","0,80","50,25","51,74","990,44M"
"10/12/2018","51,12","50,20","-2,13","50,19","51,64","726,57M"
"07/12/2018","52,48","51,29","-1,93","51,09","53,26","1,02B"
"06/12/2018","51,70","52,30","-0,95","51,07","52,60","1,11B"
"05/12/2018","53,30","52,80","-0,15","52,43","53,48","511,01M"
"04/12/2018","54,35","52,88","-2,27","52,50","54,52","1,44B"
"03/12/2018","55,60","54,11","2,48","53,74","55,68","1,77B"
"30/11/2018","51,56","52,80","1,54","51,56","53,69","1,56B"
"29/11/2018","51,92","52,00","-0,57","51,13","52,73","1,21B"
"28/11/2018","50,50","52,30","4,77","50,22","52,32","1,50B"
"27/11/2018","49,69","49,92","-0,40","49,10","50,49","1,27B"
"26/11/2018","49,95","50,12","-0,46","49,00","51,09","1,52B"
"23/11/2018","53,39","50,35","-6,83","50,35","53,39","1,72B"
"22/11/2018","54,69","54,04","-0,90","53,75","54,72","500,33M"
"21/11/2018","54,53","54,53","-1,52","53,71","54,55","1,01B"
"19/11/2018","56,15","55,37","-1,39","54,81","56,28","719,16M"
"16/11/2018","55,85","56,15","1,79","55,15","56,35","1,10B"
"14/11/2018","55,21","55,16","-1,97","54,25","55,67","1,56B"
"13/11/2018","54,90","56,27","2,59","54,35","56,27","1,04B"
"12/11/2018","55,10","54,85","0,37","54,40","55,45","877,74M"
"09/11/2018","56,50","54,65","-4,16","54,13","57,00","1,62B"
"08/11/2018","57,78","57,02","-0,99","57,02","58,77","970,19M"
"07/11/2018","57,79","57,59","0,63","57,40","58,15","750,01M"
"06/11/2018","57,00","57,23","-0,52","56,56","57,85","644,12M"
"05/11/2018","57,61","57,53","0,05","57,04","58,00","891,38M"
"01/11/2018","56,75","57,50","1,39","55,52","58,26","1,16B"
"31/10/2018","54,35","56,71","5,27","54,27","56,71","1,48B"
"30/10/2018","53,60","53,87","1,45","52,96","54,85","1,28B"
"29/10/2018","56,50","53,10","-4,50","52,60","56,50","1,41B"
"26/10/2018","54,90","55,60","1,81","53,51","55,89","1,45B"
"25/10/2018","55,97","54,61","0,33","53,80","56,04","1,61B"
"24/10/2018","57,40","54,43","-4,09","54,43","57,59","990,05M"
"23/10/2018","57,31","56,75","-2,78","56,00","57,55","1,17B"
"22/10/2018","57,70","58,37","3,25","57,03","58,42","810,47M"
"19/10/2018","57,10","56,53","0,05","56,36","57,53","760,18M"
"18/10/2018","58,85","56,50","-3,91","56,32","58,85","970,32M"
"17/10/2018","58,34","58,80","1,91","57,75","58,92","1,27B"
"16/10/2018","57,94","57,70","0,05","57,25","58,85","913,90M"
"15/10/2018","56,95","57,67","2,11","56,84","58,45","938,04M"
"11/10/2018","56,44","56,48","1,06","55,62","57,16","901,18M"
"10/10/2018","57,38","55,89","-3,07","55,89","58,14","799,60M"
"09/10/2018","57,40","57,66","1,07","56,72","58,32","1,02B"
"08/10/2018","57,00","57,05","-0,77","55,26","57,57","1,49B"
"05/10/2018","57,85","57,49","-2,23","57,23","58,31","1,16B"
"04/10/2018","59,99","58,80","-1,92","58,67","60,34","852,50M"
"03/10/2018","62,01","59,95","-2,04","59,32","62,19","1,61B"
"02/10/2018","60,87","61,20","1,32","60,48","61,74","1,26B"
"01/10/2018","59,68","60,40","0,97","59,08","60,57","533,92M"
"28/09/2018","58,85","59,82","0,57","58,85","60,29","877,12M"
"27/09/2018","60,22","59,48","-0,88","58,61","60,75","1,22B"
"26/09/2018","62,20","60,01","-3,52","59,75","62,42","1,49B"
"25/09/2018","60,00","62,20","3,32","59,86","62,22","1,03B"
"24/09/2018","60,85","60,20","-1,33","60,15","61,25","541,67M"
"21/09/2018","59,89","61,01","2,85","59,60","61,01","1,39B"
