Example 21.1

Time: 1 = January 1951
    489 = September 1999
Money = M1 money supply ($, Billions)

TIME	MONEY	
1	138.89	
2	139.39	
3	139.74	
4	139.69	
5	140.68	
6	141.17	
7	141.7	
8	141.9	
9	141.01	
10	140.47	
11	140.38	
12	139.95	
13	139.98	
14	139.87	
15	139.75	
16	139.56	
17	139.61	
18	139.58	
19	140.18	
20	141.31	
21	141.18	
22	140.92	
23	140.86	
24	140.69	
25	141.06	
26	141.6	
27	141.87	
28	142.13	
29	142.66	
30	142.88	
31	142.92	
32	143.49	
33	143.78	
34	144.14	
35	144.76	
36	145.2	
37	145.24	
38	145.66	
39	145.96	
40	146.4	
41	146.84	
42	146.58	
43	146.46	
44	146.57	
45	146.3	
46	146.71	
47	147.29	
48	147.82	
49	148.26	
50	148.9	
51	149.17	
52	149.7	
53	150.39	
54	150.43	
55	151.34	
56	151.78	
57	151.98	
58	152.55	
59	153.65	
60	153.29	
61	153.74	
62	154.31	
63	154.48	
64	154.77	
65	155.33	
66	155.62	
67	156.8	
68	157.82	
69	158.75	
70	159.24	
71	159.96	
72	160.3	
73	160.71	
74	160.94	
75	161.47	
76	162.03	
77	161.7	
78	162.19	
79	163.05	
80	163.68	
81	164.85	
82	165.97	
83	166.71	
84	167.85	
85	169.08	
86	169.62	
87	170.51	
88	171.81	
89	171.33	
90	171.57	
91	170.31	
92	170.81	
93	171.97	
94	171.16	
95	171.38	
96	172.03	
97	171.86	
98	172.99	
99	174.81	
100	174.17	
101	175.68	
102	177.02	
103	178.13	
104	179.71	
105	180.68	
106	181.64	
107	182.38	
108	183.26	
109	184.33	
110	184.71	
111	185.47	
112	186.6	
113	187.99	
114	189.42	
115	190.49	
116	191.84	
117	192.74	
118	194.02	
119	196.02	
120	197.41	
121	198.69	
122	199.35	
123	200.02	
124	200.71	
125	200.81	
126	201.27	
127	201.66	
128	201.73	
129	202.1	
130	202.9	
131	203.57	
132	203.88	
133	206.22	
134	205	
135	205.75	
136	206.72	
137	207.22	
138	207.54	
139	207.98	
140	209.93	
141	211.8	
142	212.88	
143	213.66	
144	214.41	
145	215.54	
146	217.42	
147	218.77	
148	220	
149	222.02	
150	223.45	
151	224.85	
152	225.58	
153	226.47	
154	227.16	
155	227.76	
156	228.32	
157	230.09	
158	232.32	
159	234.3	
160	235.58	
161	235.89	
162	236.62	
163	238.79	
164	240.93	
165	243.18	
166	245.02	
167	246.41	
168	249.25	
169	251.47	
170	252.15	
171	251.67	
172	252.74	
173	254.89	
174	256.69	
175	257.54	
176	257.76	
177	257.86	
178	259.04	
179	260.98	
180	262.88	
181	263.76	
182	265.31	
183	266.68	
184	267.2	
185	267.56	
186	268.44	
187	269.27	
188	270.12	
189	271.05	
190	272.35	
191	273.71	
192	274.2	
193	273.9	
194	275	
195	276.42	
196	276.17	
197	279.2	
198	282.43	
199	283.68	
200	284.15	
201	285.69	
202	285.39	
203	286.83	
204	287.07	
205	288.42	
206	290.76	
207	292.7	
208	294.66	
209	295.93	
210	296.16	
211	297.2	
212	299.05	
213	299.67	
214	302.04	
215	303.59	
216	306.25	
217	308.26	
218	311.54	
219	313.94	
220	316.02	
221	317.19	
222	318.71	
223	320.19	
224	322.27	
