Example 21.3
US Consumer Price Index
January 1947 to January 2000

CPI = Consumer Price Index
Time: 1 = January 1947
    637 = January 2000

TIME	CPI
1	21.5
2	21.6
3	22
4	22
5	22
6	22.1
7	22.2
8	22.4
9	22.8
10	22.9
11	23.1
12	23.4
13	23.7
14	23.7
15	23.5
16	23.8
17	24
18	24.2
19	24.4
20	24.4
21	24.4
22	24.3
23	24.2
24	24.1
25	24
26	23.9
27	23.9
28	23.9
29	23.9
30	23.9
31	23.7
32	23.7
33	23.8
34	23.7
35	23.7
36	23.6
37	23.5
38	23.6
39	23.6
40	23.7
41	23.8
42	23.9
43	24.1
44	24.2
45	24.3
46	24.5
47	24.6
48	25
49	25.4
50	25.8
51	25.9
52	25.9
53	26
54	25.9
55	25.9
56	25.9
57	26
58	26.2
59	26.3
60	26.5
61	26.5
62	26.4
63	26.4
64	26.5
65	26.5
66	26.5
67	26.7
68	26.7
69	26.6
70	26.7
71	26.7
72	26.7
73	26.6
74	26.6
75	26.6
76	26.7
77	26.7
78	26.8
79	26.8
80	26.9
81	26.9
82	27
83	26.9
84	26.9
85	26.9
86	27
87	26.9
88	26.9
89	26.9
90	26.9
91	26.9
92	26.9
93	26.8
94	26.7
95	26.8
96	26.8
97	26.8
98	26.8
99	26.8
100	26.8
101	26.8
102	26.7
103	26.8
104	26.7
105	26.9
106	26.8
107	26.9
108	26.9
109	26.8
110	26.9
111	26.9
112	26.9
113	27
114	27.2
115	27.3
116	27.3
117	27.4
118	27.5
119	27.5
120	27.6
121	27.7
122	27.8
123	27.9
124	27.9
125	28
126	28.1
127	28.2
128	28.3
129	28.3
130	28.3
131	28.4
132	28.5
133	28.6
134	28.7
135	28.9
136	28.9
137	28.9
138	28.9
139	28.9
140	28.9
141	28.9
142	28.9
143	29
144	29
145	29
146	29
147	29
148	29
149	29
150	29.1
151	29.2
152	29.2
153	29.3
154	29.4
155	29.4
156	29.4
157	29.4
158	29.4
159	29.4
160	29.5
161	29.6
162	29.6
163	29.6
164	29.6
165	29.6
166	29.8
167	29.8
168	29.8
169	29.8
170	29.8
171	29.8
172	29.8
173	29.8
174	29.8
175	29.9
176	29.9
177	30
178	30
179	30
180	30
181	30
182	30.1
183	30.2
184	30.2
185	30.2
186	30.2
187	30.2
188	30.3
189	30.4
190	30.4
191	30.4
192	30.4
193	30.4
194	30.5
195	30.5
196	30.5
197	30.5
198	30.6
199	30.7
200	30.8
201	30.7
202	30.8
203	30.8
204	30.9
205	30.9
206	30.9
207	30.9
208	31
209	31
210	31
211	31
212	31.1
213	31.1
214	31.1
215	31.2
216	31.3
217	31.3
218	31.3
219	31.3
220	31.4
221	31.5
222	31.6
223	31.6
224	31.6
225	31.6
226	31.7
227	31.8
228	31.9
229	31.9
230	32.1
231	32.2
232	32.3
233	32.4
234	32.4
235	32.5
236	32.7
237	32.8
238	32.9
239	32.9
240	32.9
241	32.9
242	33
243	33
244	33.1
245	33.1
246	33.3
247	33.4
248	33.5
249	33.6
250	33.7
251	33.9
252	34
253	34.1
254	34.2
255	34.3
256	34.4
257	34.5
258	34.7
259	34.9
260	35
261	35.1
262	35.3
263	35.4
264	35.6
265	35.7
266	35.8
267	36.1
268	36.3
269	36.4
270	36.6
271	36.8
272	36.9
273	37.1
274	37.3
275	37.5
276	37.7
277	37.9
278	38.1
279	38.3
280	38.5
281	38.6
282	38.8
283	38.9
284	39
285	39.2
286	39.4
287	39.6
288	39.8
289	39.9
290	39.9
291	40
292	40.1
293	40.3
294	40.5
295	40.6
296	40.7
297	40.8
298	40.9
299	41
300	41.1
301	41.2
302	41.4
303	41.4
304	41.5
305	41.6
306	41.7
307	41.8
308	41.9
309	42.1
310	42.2
311	42.4
312	42.5
313	42.7
314	43
315	43.4
316	43.7
317	43.9
318	44.2
319	44.2
320	45
321	45.2
322	45.6
323	45.9
324	46.3
325	46.8
326	47.3
327	47.8
328	48.1
329	48.6
330	49
331	49.3
332	49.9
333	50.6
334	51
335	51.5
336	51.9
337	52.3
338	52.6
339	52.8
340	53
341	53.1
342	53.5
343	54
344	54.2
345	54.6
346	54.9
347	55.3
348	55.6
349	55.8
350	55.9
351	56
352	56.1
353	56.4
354	56.7
355	57
356	57.3
357	57.6
358	57.9
359	58.1
360	58.4
361	58.7
362	59.3
363	59.6
364	60
365	60.2
366	60.5
367	60.8
368	61.1
369	61.3
370	61.6
371	62
372	62.3
373	62.7
374	63
375	63.4
376	63.9
377	64.5
378	65
379	65.5
380	65.9
381	66.5
382	67.1
383	67.5
384	67.9
385	68.5
386	69.2
387	69.9
388	70.6
389	71.4
390	72.2
391	73
392	73.7
393	74.4
394	75.2
395	76
396	76.9
397	78
398	79
399	80.1
400	80.9
401	81.7
402	82.5
403	82.6
404	83.2
405	83.9
406	84.7
407	85.6
408	86.4
409	87.2
410	88
411	88.6
412	89.1
413	89.7
414	90.5
415	91.5
416	92.2
417	93.1
418	93.4
419	93.8
420	94.1
421	94.4
422	94.7
423	94.7
424	95
425	95.9
426	97
427	97.5
428	97.7
429	97.7
430	98.1
431	98
432	97.7
433	97.9
434	98
435	98.1
436	98.8
437	99.2
438	99.4
439	99.8
440	100.1
441	100.4
442	100.8
443	101.1
444	101.4
445	102.1
446	102.6
447	102.9
448	103.3
449	103.5
450	103.7
451	104.1
452	104.4
453	104.7
454	105.1
455	105.3
456	105.5
457	105.7
458	106.3
459	106.8
460	107
461	107.2
462	107.5
463	107.7
464	107.9
465	108.1
466	108.5
467	109
468	109.5
469	109.9
470	109.7
471	109.1
472	108.7
473	109
474	109.4
475	109.5
476	109.6
477	110
478	110.2
479	110.4
480	110.8
481	111.5
482	111.9
483	112.3
484	112.8
485	113.1
486	113.6
487	113.9
488	114.4
489	114.8
490	115.1
491	115.5
492	115.7
493	116.1
494	116.2
495	116.6
496	117.2
497	117.6
498	118.1
499	118.6
500	119
501	119.6
502	120
503	120.4
504	120.8
505	121.3
506	121.7
507	122.3
508	123.2
509	123.8
510	124.1
511	124.6
512	124.6
513	124.9
514	125.5
515	125.9
516	126.4
517	127.6
518	128.1
519	128.6
520	129
521	129.2
522	130
523	130.6
524	131.7
525	132.6
526	133.5
527	133.8
528	134.3
529	134.8
530	134.9
531	134.9
532	135.2
533	135.7
534	136.1
535	136.3
536	136.7
537	137.1
538	137.3
539	137.9
540	138.3
541	138.4
542	138.7
543	139.2
544	139.5
545	139.8
546	140.2
547	140.6
548	140.9
549	141.2
550	141.8
551	142.2
552	142.4
553	142.8
554	143.2
555	143.4
556	143.9
557	144.3
558	144.4
559	144.6
560	144.9
561	145.1
562	145.7
563	146
564	146.4
565	146.4
566	146.8
567	147.2
568	147.3
569	147.6
570	148
571	148.5
572	149.1
573	149.4
574	149.5
575	149.9
576	150.2
577	150.6
578	151
579	151.3
580	151.9
581	152.2
582	152.5
583	152.7
584	153
585	153.2
586	153.7
587	153.8
588	154.1
589	154.8
590	155.1
591	155.6
592	156.2
593	156.5
594	156.8
595	157.1
596	157.3
597	157.8
598	158.3
599	158.8
600	159.2
601	159.5
602	159.9
603	159.9
604	160
605	160.1
606	160.3
607	160.5
608	160.8
609	161.3
610	161.6
611	161.8
612	161.9
613	162.1
614	162.2
615	162.2
616	162.4
617	162.7
618	162.9
619	163.2
620	163.5
621	163.5
622	163.9
623	164.2
624	164.5
625	164.8
626	164.8
627	165
628	166
629	166
630	166.1
631	166.7
632	167.1
633	167.8
634	168.2
635	168.5
636	168.9
637	169.4
