Table 10.12
US Imports, GDP, CPI (1970-1998)

YEAR	CPI	GDP	IMPORTS	
1970	38.8	1039.7	39866	
1971	40.5	1128.6	45579	
1972	41.8	1240.4	55797	
1973	44.4	1385.5	70499	
1974	49.3	1501	103811	
1975	53.8	1635.2	98185	
1976	56.9	1823.9	124228	
1977	60.6	2031.4	151907	
1978	65.2	2295.9	176002	
1979	72.6	2566.4	212007	
1980	82.4	2795	249750	
1981	90.9	3131.3	265067	
1982	96.5	3259.2	247642	
1983	99.6	3534.9	268901	
1984	103.9	3932.7	332418	
1985	107.6	4213	338088	
1986	109.6	4452.9	368425	
1987	113.6	4742.5	409765	
1988	118.3	5108.3	447189	
1989	124	5489.1	477365	
1990	130.7	5803.2	498337	
1991	136.2	5986.2	490981	
1992	140.3	6318.9	536458	
1993	144.5	6642.3	589441	
1994	148.2	7054.3	668590	
1995	152.4	7400.5	749574	
1996	156.9	7813.2	803327	
1997	160.5	8300.8	876366	
1998	163	8759.9	917178	
