Table 1.1
U.S. Egg Production
  STATE = State
  Y1    = Eggs Produced in 1990, Millions
  Y2    = Eggs Produced in 1991, Millions
  X1    = Price Per Dozen in 1990, Cents
  X2    = Price Per Dozen in 1991, Cents

  STATE      Y1       Y2      X1      X2
    AL     2206.0   2186.0    92.7    91.4
    AK        0.7      0.7   151.0   149.0
    AZ       73.0     74.0    61.0    56.0
    AR     3620.0   3737.0    86.3    91.8
    CA     7472.0   7444.0    63.4    58.4
    CO      788.0    873.0    77.8    73.0
    CT     1029.0    948.0   106.0   104.0
    DE      168.0    164.0   117.0   113.0
    FL     2568.0   2537.0    62.0    57.2
    GA     4302.0   4301.0    80.6    80.8
    HI      227.5    224.5    85.0    85.5
    ID      187.0    203.0    79.1    72.9
    IL      793.0    809.0    65.0    70.5
    IN     5445.0   5290.0    62.7    60.1
    IA     2151.0   2247.0    56.5    53.0
    KS      404.0    389.0    54.5    47.8
    KY      412.0    483.0    67.7    73.5
    LA      273.0    254.0   115.0   115.0
    ME     1069.0   1070.0   101.0    97.0
    MD      885.0    898.0    76.6    75.4
    MA      235.0    237.0   105.0   102.0
    MI     1406.0   1396.0    58.0    53.8
    MN     2499.0   2697.0    57.7    54.0
    MS     1434.0   1468.0    87.8    86.7
    MO     1580.0   1622.0    55.4    51.5
    MT      172.0    164.0    68.0    66.0
    NE     1202.0   1400.0    50.3    48.9
    NV        2.2      1.8    53.9    52.7
    NH       43.0     49.0   109.0   104.0
    NJ      442.0    491.0    85.0    83.0
    NM      283.0    302.0    74.0    70.0
    NY      975.0    987.0    68.1    64.0
    NC     3033.0   3045.0    82.8    78.7
    ND       51.0     45.0    55.2    48.0
    OH     4667.0   4637.0    59.1    54.7
    OK      869.0    830.0   101.0   100.0
    OR      652.0    686.0    77.0    74.6
    PA     4976.0   5130.0    61.0    52.0
    RI       53.0     50.0   102.0    99.0
    SC     1422.0   1420.0    70.1    65.9
    SD      435.0    602.0    48.0    45.8
    TN      277.0    279.0    71.0    80.7
    TX     3317.0   3356.0    76.7    72.6
    UT      456.0    486.0    64.0    59.0
    VT       31.0     30.0   106.0   102.0
    VA      934.0    988.0    86.3    81.2
    WA     1287.0   1313.0    74.1    71.5
    WV      136.0    174.0   104.0   109.0
    WI      910.0    873.0    60.1    54.0
    WY        1.7      1.7    83.0    83.0



  

