IND   A       B       C       D       E       F       G        H        I
  1 2994.00 3295.00 3565.00 3907.00 4189.00 4486.00 4676.00  4968.00  5342.00
  2 1721.00 2057.00 3336.00 3320.00 2980.00 2848.00 3072.00  2969.00  3822.00
  3 3600.00 3657.00 3674.00 3437.00 3340.00 3334.00 3225.00  3163.00  3168.00
  4 3494.00 3787.00 3533.00 3215.00 3030.00 2834.00 2750.00  2967.00  3453.00
  5 3498.00 3847.00 3913.00 4135.00 4445.00 4885.00 5132.00  5342.00  5326.00
  6 3611.00 4206.00 4695.00 5083.00 5301.00 5269.00 5182.00  5395.00  5552.00
  7 3875.00 4660.00 4930.00 5005.00 5114.00 5248.00 5630.00  5870.00  5876.00
  8 4616.00 5181.00 5317.00 5337.00 5421.00 5710.00 6316.00  6455.00  6347.00
  9 3538.00 3984.00 4014.00 4287.00 4221.00 4539.00 4721.00  4905.00  5481.00
 10 3016.00 3196.00 3149.00 3317.00 3414.00 3254.00 3177.00  3346.00  4067.00
 11 3396.00 3787.00 4013.00 4104.00 4146.00 4241.00 4387.00  4538.00  4843.00
 12  743.70  851.40  727.80  805.06  929.90 1080.60 1243.20  1307.70  1112.50
 13 9355.00 8584.00 7962.00 8275.00 8389.00 9418.00 9795.00 10281.00 11750.00
    
