Y      X     RY     RX
55     80     55     80
65    100     70     85
70     85     75     90
80    110     65    100
79    120     74    105
84    115     80    110
98    130     84    115
95    140     79    120
90    125     90    125
75     90     98    130
74    105     95    140
110   160    108    145
113   150    113    150
125   165    110    160
108   145    125    165  
115   180    115    180
140   225    130    185
120   200    135    190
145   240    120    200
130   185    140    205
152   220    144    210
144   210    152    220
175   245    140    225
180   260    137    230
135   190    145    240
140   205    175    245
178   265    189    250
191   270    180    260
137   230    178    265
189    250    191    270
