Table 12.8
  Y    = Personal Consumption Expenditure, Billions of 1958 $
  X    = Time, 1=1956...15=1970
  YHAT = Estimated Y*
  U    = Residuals

    Y      X       YHAT          U
  281.4     1    261.4208     19.9791
  288.1     2    276.6026     11.4973
  290.0     3    291.7844     -1.7844
  307.3     4    306.9661      0.3338
  316.1     5    322.1479     -6.0479
  322.5     6    337.3297    -14.8297
  338.4     7    352.5115    -14.1115
  353.3     8    367.6933    -14.3933
  373.7     9    382.8751     -9.1751
  397.7    10    398.0569     -0.3569
  418.1    11    413.2386      4.8613
  430.1    12    428.4206      1.6795
  452.7    13    443.6022      9.0977
  469.1    14    458.7840     10.3159
  476.9    15    473.9658      2.9341

