Table 15.2
Actual Y, Estimated Y and Weights Wi for the Home Ownership
             Example
  Y      = Actual Y
  YHAT   = Esimated Y
  WHAT** = Weights
  SQRTW  = Square Root Weights

  Note:  -99999 = No Value Given

  Y     YHAT      WHAT**     SQRTW
  0    -0.1290    -99999     -99999
  1     0.6880    0.21460    0.4633
  1     0.8930    0.09560    0.3091
  0     0.1780    0.14630    0.3825
  0     0.2800    0.20160    0.4490
  1     0.9950    0.00498    0.0705
  1     1.0980    -99999     -99999
  0     3.8200    0.23610    0.4859
  0    -0.0265    -99999     -99999
  0     0.0760    0.07020    0.2650
  1     0.7910    0.16530    0.4066
  1     0.8930    0.09560    0.3091
  0     0.4840    0.24970    0.4997
  1     1.0970    -99999     -99999
  0    -0.3330    -99999     -99999
  1     0.9950    0.00498    0.0705
  1     0.6880    0.21470    0.4633
  0     0.0760    0.07020    0.2650
  0    -0.1290    -99999     -99999
  1     0.8930    0.09560    0.3091
  1     1.3010    -99999     -99999
  1     0.6880    0.21470    0.4633
  0     0.2800    0.20160    0.4990
  0     0.1780    0.14630    0.3825
  1     0.6880    0.21470    0.4633
  0     0.1780    0.14630    0.3825
  1     1.0970    -99999     -99999
  1     0.8930    0.09560    0.3091
  0     0.1780    0.14630    0.3825
  0     0.0760    0.07020    0.2650
  1     0.7910    0.16530    0.4055
  0     0.3820    0.23610    0.4859
  1     1.1990    -99999     -99999
  1     1.0970    -99999     -99999
  0     0.1780    0.14630    0.3825
  0    -0.1290    -99999     -99999
  1     0.7910    0.16530    0.4066
  1     0.6880    0.21470    0.4633
  0    -0.2310    -99999     -99999
  1     0.7910    0.16530    0.4066


