Table 17.5

Private consumption expenditure and GDP, Sri Lanka

YEAR	PCON	GDP	
1967	61284	78221	
1968	68814	83326	
1969	76766	90490	
1970	73576	92692	
1971	73256	94814	
1972	67502	92590	
1973	78832	101419	
1974	80240	105267	
1975	84477	112149	
1976	86038	116078	
1977	96275	122040	
1978	101292	128578	
1979	105448	136851	
1980	114570	144734	
1981	120477	152846	
1982	133868	164318	
1983	148004	172414	
1984	149735	178433	
1985	155200	185753	
1986	154165	192059	
1987	155445	191288	
1988	157199	196055	
1989	158576	202477	
1990	169238	223225	
1991	179001	233231	
1992	183687	242762	
1993	198273	259555	
