Table 17.8
Investment in Fixed Plant and Equipment in Manufacturing
and Manufacturing Sales, United States, 1970-1991

  YEAR = Year
  Y    = Plant Expenditure, Seasonally Adjusted, Billions of $
  X2   = Manufacturing Sales, Seasonally Adjusted, Billions of $

  YEAR       Y          X2
  1970     36.990     52.8050
  1971     33.600     55.9060
  1972     35.420     63.0270
  1973     42.350     72.9310
  1974     52.480     84.7900
  1975     53.660     86.5890
  1976     58.530     98.7970
  1977     67.480    113.2010
  1978     78.130    126.9050
  1979     95.130    143.9360
  1980    112.600    154.3910
  1981    128.680    168.1290
  1982    123.970    163.3510
  1983    117.350    172.5470
  1984    139.610    190.6820
  1985    152.880    194.5380
  1986    137.950    194.6570
  1987    141.060    206.3260
  1988    163.450    223.5410
  1989    183.800    232.7240
  1990    192.610    239.4590
  1991    182.810    235.1420

