Table 17.9

Investments,Sales,Interest rate, US, 1960-1999

YEAR	INVESTMENT	SALES	INTEREST	
1960	4.9	60827	4.41	
1961	5.2	61159	4.35	
1962	5.7	65662	4.33	
1963	6.5	68995	4.26	
1964	7.3	73682	4.4	
1965	8.5	80283	4.49	
1966	10.6	87187	5.13	
1967	11.2	90820	5.51	
1968	11.9	96685	6.18	
1969	14.6	105690	7.03	
1970	16.7	108221	8.04	
1971	17.3	116895	7.39	
1972	19.3	131081	7.21	
1973	23	153677	7.44	
1974	26.8	177912	8.57	
1975	28.2	182198	8.83	
1976	32.4	204150	8.43	
1977	38.6	229513	8.02	
1978	48.3	260320	8.73	
1979	58.6	297701	9.63	
1980	69.6	327233	11.94	
1981	82.4	355822	14.17	
1982	88.9	347625	13.79	
1983	100.8	369286	12.04	
1984	121.7	410124	12.71	
1985	130.8	422583	11.37	
1986	137.6	430419	9.02	
1987	141.9	457735	9.38	
1988	155.9	497157	9.71	
1989	173	527039	9.26	
1990	176.1	545909	9.32	
1991	181.4	542815	8.77	
1992	197.5	567176	8.14	
1993	215	595628	7.22	
1994	233.7	639163	7.96	
1995	262	684982	7.59	
1996	287.3	718113	7.37	
1997	325.2	753445	7.26	
1998	367.4	779413	6.53	
1999	433	833079	7.04	
