Table 19.3

Money, GDP, Interest Rate and CPI, USA, 1970-1999

obs	M2	GDP	TBRATE	CPI	

1970	626.4	3578	6.458	38.8	
1971	710.1	3697.7	4.348	40.5	
1972	802.1	3998.4	4.071	41.8	
1973	855.2	4123.4	7.041	44.4	
1974	901.9	4099	7.886	49.3	
1975	1015.9	4084.4	5.838	53.8	
1976	1151.7	4311.7	4.989	56.9	
1977	1269.9	4511.8	5.265	60.6	
1978	1365.5	4760.6	7.221	65.2	
1979	1473.1	4912.1	10.041	72.6	
1980	1599.1	4900.9	11.506	82.4	
1981	1754.6	5021	14.029	90.9	
1982	1909.5	4913.3	10.686	96.5	
1983	2126	5132.3	8.63	99.6	
1984	2309.7	5505.2	9.58	103.9	
1985	2495.4	5717.1	7.48	107.6	
1986	2732.1	5912.4	5.98	109.6	
1987	2831.1	6113.3	5.82	113.6	
1988	2994.3	6368.4	6.69	118.3	
1989	3158.4	6591.9	8.1	124	
1990	3277.6	6707.9	7.51	130.7	
1991	3376.8	6676.4	5.42	136.2	
1992	3430.7	6880	3.45	140.3	
1993	3484.4	7062.6	3.02	144.5	
1994	3499	7347.7	4.29	148.2	
1995	3641.9	7543.8	5.51	142.4	
1996	3813.3	7813.2	5.02	156.9	
1997	4028.9	8159.5	5.07	160.5	
1998	4380.6	8515.7	4.81	163	
1999	4643.7	8875.8	4.66	166.6	
