

Table 9.7
Unemployment and job vacancy rates, UK
obs	UN	V	DUM	DUMV	
					
1958:4	 1.915000	 0.510000	 0.000000	 0.000000	
1959:1	 1.876000	 0.541000	 0.000000	 0.000000	
1959:2	 1.842000	 0.541000	 0.000000	 0.000000	
1959:3	 1.750000	 0.690000	 0.000000	 0.000000	
1959:4	 1.648000	 0.771000	 0.000000	 0.000000	
1960:1	 1.450000	 0.836000	 0.000000	 0.000000	
1960:2	 1.393000	 0.908000	 0.000000	 0.000000	
1960:3	 1.322000	 0.968000	 0.000000	 0.000000	
1960:4	 1.260000	 0.998000	 0.000000	 0.000000	
1961:1	 1.171000	 0.968000	 0.000000	 0.000000	
1961:2	 1.182000	 0.964000	 0.000000	 0.000000	
1961:3	 1.221000	 0.952000	 0.000000	 0.000000	
1961:4	 1.340000	 0.849000	 0.000000	 0.000000	
1962:1	 1.411000	 0.748000	 0.000000	 0.000000	
1962:2	 1.600000	 0.658000	 0.000000	 0.000000	
1962:3	 1.780000	 0.562000	 0.000000	 0.000000	
1962:4	 1.941000	 0.510000	 0.000000	 0.000000	
1963:1	 2.178000	 0.510000	 0.000000	 0.000000	
1963:2	 2.067000	 0.544000	 0.000000	 0.000000	
1963:3	 1.942000	 0.568000	 0.000000	 0.000000	
1963:4	 1.764000	 0.677000	 0.000000	 0.000000	
1964:1	 1.532000	 0.794000	 0.000000	 0.000000	
1964:2	 1.455000	 0.838000	 0.000000	 0.000000	
1964:3	 1.409000	 0.885000	 0.000000	 0.000000	
1964:4	 1.296000	 0.978000	 0.000000	 0.000000	
1965:1	 1.201000	 0.997000	 0.000000	 0.000000	
1965:2	 1.192000	 1.035000	 0.000000	 0.000000	
1965:3	 1.259000	 1.040000	 0.000000	 0.000000	
1965:4	 1.192000	 1.086000	 0.000000	 0.000000	
1966:1	 1.089000	 1.101000	 0.000000	 0.000000	
1966:2	 1.101000	 1.058000	 0.000000	 0.000000	
1966:3	 1.243000	 0.987000	 0.000000	 0.000000	
1966:4	 1.623000	 0.819000	 1.000000	 0.819000	
1967:1	 1.821000	 0.740000	 1.000000	 0.740000	
1967:2	 1.990000	 0.661000	 1.000000	 0.661000	
1967:3	 2.114000	 0.660000	 1.000000	 0.660000	
1967:4	 2.115000	 0.698000	 1.000000	 0.698000	
1968:1	 2.150000	 0.695000	 1.000000	 0.695000	
1968:2	 2.141000	 0.732000	 1.000000	 0.732000	
1968:3	 2167.000	 0.749000	 1.000000	 0.749000	
1968:4	 2.107000	 0.800000	 1.000000	 0.800000	
1969:1	 2.104000	 0.783000	 1.000000	 0.783000	
1969:2	 2.056000	 0.800000	 1.000000	 0.800000	
1969:3	 2.170000	 0.794000	 1.000000	 0.794000	
1969:4	 2.161000	 0.790000	 1.000000	 0.790000	
1970:1	 2.225000	 0.757000	 1.000000	 0.757000	
1970:2	 2.241000	 0.746000	 1.000000	 0.746000	
1970:3	 2.366000	 0.739000	 1.000000	 0.739000	
1970:4	 2.324000	 0.707000	 1.000000	 0.707000	
1971:1	 2.516000	 0.583000	 1.000000	 0.583000	
1971:2	 2.909000	 0.524000	 1.000000	 0.524000	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					

