Table 9.8
US Presidential Elections, 1916-1996
obs	V	W	D	G	I	N	P
1	0.5168	0	1	2.229	1	3	4.252
2	0.3612	1	0     -11.463	1	5      16.535
3	0.4176	0      -1     - 3.872  -1      10	5.161
4	0.4118	0	0	4.623  -1	7	0.183
5	0.5916	0      -1     -14.901  -1	4	7.069
6	0.6246	0	1      11.921	1	9	2.362
7	0.55	0	1	3.708	1	8	0.028
8	0.5377	1	1	4.119	1      14	5.678
9	0.5237	1	1	1.849	1	5	8.722
10	0.446	0	0	0.627	1	6	2.288
11	0.4224	0      -1      -1.527  -1	5	1.936
12	0.5009	0	0	0.114  -1	5	1.932
13	0.6134	0	1	5.054	1      10	1.247
14	0.496	0	0	4.836	1	7	3.215
15	0.3821	0      -1	6.278  -1	4	4.766
16	0.5105	0	0	3.663  -1	4	7.657
17	0.447	0	1      -3.789	1	5	8.093
18	0.4083	0      -1	5.387  -1	7	5.403
19	0.461	0	0	2.068  -1	6	3.272
20	0.5345	0	-1	2.293	-1	1	3.692
21	0.5474	0	1	2.918	1	3	2.268
