Table 10.10

   YEAR = Year
   Y    = Consumption
   X2   = Wage Income, Billions of 1939 $
   X3   = Nonwage and Nonfarm Income, Billions of 1939 $
   X4   = Farm Income, Billions of 1939 $

  YEAR      Y       X2       X3       X4
  1936     62.8    43.41    17.10    3.96
  1937     65.0    46.44    18.65    5.48
  1938     63.9    44.35    17.09    4.37
  1939     67.5    47.82    19.28    4.51
  1940     71.3    51.02    23.24    4.88
  1941     76.6    58.71    28.11    6.37
  1945     86.3    87.69    30.29    8.96
  1946     95.7    76.73    28.26    9.76
  1947     98.3    75.91    27.91    9.31
  1948    100.3    77.62    32.30    9.85
  1949    103.2    78.01    31.39    7.21
  1950    108.9    83.57    35.61    7.39
  1951    108.5    90.59    37.58    7.98
  1952    111.4    95.47    35.17    7.42


