HillRace  	Time  	Distance  	Climb 
GreenmantleNewYearDash  	965  	2.5  	650  
Carnethy  	2901  	6  	2500  
CraigDunain  	2019  	6  	900  
BenRha  	2736  	7.5  	800  
BenLomond  	3736  	8  	3070  
Goatfell  	4393  	8  	2866  
BensofJura  	12277  	16  	7500  
Cairnpapple  	2182  	6  	800  
Scolty  	1785  	5  	800  
TraprainLaw  	2385  	6  	650  
LairigGhru  	11560  	28  	2100  
Dollar  	2583  	5  	2000  
LomondsofFife  	3900  	9.5  	2200  
CairnTable  	2648  	6  	500  
EildonTwo  	1616  	4.5  	1500  
Cairngorm  	4335  	10  	3000  
SevenHillsofEdinburgh  	5905  	14  	2200  
KnockHill  	4719  	3  	350  
BlackHill  	1045  	4.5  	1000  
CreagBeag  	1954  	5.5  	600  
Kildoon  	957  	3  	300  
MeallAnt-Suiche  	1674  	3.5  	1500  
HalfBenNevis  	2859  	6  	2200  
CowHill  	1076  	2  	900  
NorthBerwickLaw  	1121  	3  	600  
CreagDubh  	1573  	4  	2000  
Burnswark  	2066  	6  	800  
Largo  	1714  	5  	950  
Criffel  	3030  	6.5  	1750  
Achmony  	1257  	5  	500  
BenNevis  	5135  	10  	4400  
Knockfarrel  	1943  	6  	600  
TwoBreweriesFell  	10215  	18  	5200  
Cockleroi  	1686  	4.5  	850  
MoffatChase  	9590  	20  	5000  
